ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
12602,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Written Tutorials;Stack Overflow,,30,26,"Developer, back-end",500 to 999 employees,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Finland,EUR European Euro,70000.0,Groovy;Java;JavaScript;Lua;SQL;TypeScript,Java;Lua;SQL;TypeScript,Java;Lua;SQL;TypeScript,H2;Microsoft SQL Server;PostgreSQL,H2;PostgreSQL,H2;PostgreSQL,,,,Angular,Angular,Angular,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,,,,Ansible;Docker;Yarn,Docker,Docker,Android Studio;Eclipse,Eclipse,Eclipse,Other Linux-based;Other (please specify):,Other Linux-based;Other (please specify):,Jira;Miro,Jira,Jira,Microsoft Teams;Rocketchat;Signal;Slack,Rocketchat;Signal;Slack,Rocketchat;Signal;Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Showcase expertise with code solutions,"Yes, somewhat","No, but I plan to soon",Favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,75184.0,
12648,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Written-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;AI-powered search/dev tool (free),15,10,"Developer, back-end","1,000 to 4,999 employees",I have little or no influence,,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,45000.0,C#;C++;GDScript;Java;Python,C#;C++;Clojure;GDScript;Java;Kotlin,C#;C++;GDScript;Java,H2;Microsoft SQL Server;Redis;SQLite,H2;Microsoft SQL Server;Redis;SQLite,H2;Microsoft SQL Server;Redis;SQLite,Microsoft Azure,Microsoft Azure,Microsoft Azure,,,,SCons,Rasberry Pi;SCons,SCons,,,,Docker;Godot;Kubernetes;Maven (build tool);NuGet;Pip;Podman,Docker;Godot;Kubernetes;Maven (build tool);NuGet;Pip;Podman,Docker;Godot;Kubernetes;Maven (build tool);NuGet;Pip;Podman,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Red Hat;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Markdown File,Azure Devops;Confluence;Markdown File,Azure Devops;Confluence;Markdown File,Discord;Microsoft Teams;Slack,Discord;Microsoft Teams;Slack,Discord;Microsoft Teams;Slack,Bing AI;ChatGPT;Visual Studio Intellicode,Bing AI;ChatGPT;GitHub Copilot;Meta AI;Visual Studio Intellicode,Bing AI;ChatGPT;Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per month or weekly,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat distrust,Bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,Testing code;Committing and reviewing code,,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;We don’t have the right policies in place to reduce security risks;Other (please specify):,Yes,Individual contributor,10.0,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for deployment;Patching/updating core components,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,0.0,10.0,20.0,10.0,10.0,0.0,30.0,10.0,10.0,Appropriate in length,Neither easy nor difficult,48333.0,8.0
12702,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,4,3,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Connected to an open source project,Finland,EUR European Euro,42000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,Assembly;C;Elixir;Go;Haskell;Kotlin;Ruby;Rust;SQL;TypeScript;Zig,Ruby;SQL,PostgreSQL,PostgreSQL;Supabase,PostgreSQL,Managed Hosting;Vultr,Fly.io;Hetzner;Supabase,,jQuery;Ruby on Rails,Astro;Deno;Ruby on Rails;Svelte;Vue.js,Ruby on Rails,,,,,,,Bun;Vite;Yarn,Bun;Docker;Vite,Bun;Vite,Neovim;Visual Studio Code,Emacs;Helix;Neovim,Neovim,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Clickup;Jira;Obsidian,Obsidian,Obsidian,Google Meet;Microsoft Teams;Telegram;Whatsapp,Google Meet;Slack,Google Meet,Bing AI;ChatGPT,Bing AI;ChatGPT,Bing AI;ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,Neutral,Yes,Favorable,Speed up learning,Highly distrust,Bad at handling complex tasks,Debugging and getting help;Search for answers,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,Committing and reviewing code,,,Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Energy demand,,Yes,Individual contributor,3.0,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Never,Never,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,Amount of technical debt;Tracking my work,None of these,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,10.0,10.0,0.0,20.0,30.0,20.0,0.0,10.0,0.0,Appropriate in length,Easy,45111.0,2.0
12989,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Apples,Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;School (i.e., University, College, etc)",,,6,1,"Developer, full-stack",10 to 19 employees,I have some influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,27600.0,HTML/CSS;Java;JavaScript;Python;SQL,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL,HTML/CSS;Java;JavaScript;Python;SQL,MariaDB,MariaDB,MariaDB,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Hetzner;Microsoft Azure,Amazon Web Services (AWS),Express;NestJS;Node.js;Spring Boot;Vue.js,Express;NestJS;Node.js;React;Spring Boot;Svelte;Vue.js,Express;NestJS;Node.js;Spring Boot;Vue.js,,,,RabbitMQ;Scikit-Learn,.NET (5+) ;Apache Kafka;Apache Spark;Qt;RabbitMQ;Scikit-Learn,RabbitMQ;Scikit-Learn,Vite,Vite,Vite,CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,CLion;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,Android;Debian;iOS;MacOS;Windows,MacOS;Ubuntu,GitHub Discussions,GitHub Discussions,GitHub Discussions,Google Meet;Slack,Google Meet;Slack,Google Meet;Slack,ChatGPT;GitHub Copilot;WolframAlpha,ChatGPT;GitHub Copilot;WolframAlpha,ChatGPT;GitHub Copilot;WolframAlpha,Stack Overflow;Stack Exchange,A few times per week,No,,Quickly finding code solutions,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Neither good or bad at handling complex tasks,Documenting code,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,Project planning;Writing code;Testing code;Generating content or synthetic data,,,Documenting code,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,1.0,,,,,,,,,,,,,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Showing my contributions;Reliability of tools/systems used in work,DevOps function;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (paid),Media & Advertising Services,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,Appropriate in length,Difficult,29644.0,6.0
13538,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;How-to videos;Video-based Online Courses;Written-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),5,3,"Developer, back-end",100 to 499 employees,I have some influence,Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,,Go;JavaScript;Python;SQL,Go;JavaScript;Python;SQL,Go;JavaScript;Python;SQL,PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,,,Express;Node.js;React,,,,,,,,,Docker;Kubernetes,Docker;Kubernetes,Docker;Kubernetes,Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS;Ubuntu;Windows,MacOS,Confluence;Jira,,,Jitsi;Microsoft Teams,,,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,A few times per week,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Indifferent,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Very poor at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,Documenting code;Debugging and getting help,,Learning about a codebase;Writing code;Testing code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
13566,I am a developer by profession,18-24 years old,"Student, full-time",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Social Media;Other (Please specify):,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,10,,"Developer, embedded applications or devices",,,,,,Finland,,,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Rust;SQL,Bash/Shell (all shells);C;C++;Rust;Zig,Bash/Shell (all shells);C;C++;Rust,MariaDB,,,,,,,,,CMake;Cargo;GNU GCC;LLVM's Clang;Meson;Rasberry Pi,Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,,,,Make;Pacman,Nix;Pacman,Pacman,CLion;Visual Studio Code;VSCodium,Neovim,,Arch;Debian;Haiku;Other Linux-based,,Trello,,,Discord;Matrix;Microsoft Teams;Zoom,IRC;Matrix,Matrix,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,Finding reliable guidance from community-vetted answers,"No, not at all","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
13816,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time",In-person,Apples,Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Coding Bootcamp",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Written-based Online Courses;AI,API document(s) and/or SDK document(s);First-party knowledge base,11,2,"Developer, game or graphics",2 to 9 employees,I have a great deal of influence,Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Quality support system;Reputation for quality and excellence;Connected to an open source project,Finland,EUR European Euro,42000.0,C;C++;Haskell;JavaScript;MATLAB;Python;Rust;SQL;TypeScript;Zig,C;Python;Rust;SQL;TypeScript;Zig,C;Python;Rust;SQL;TypeScript;Zig,SQLite,SQLite,SQLite,,,,,,,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,NumPy,,,Docker,Docker,Docker,Helix;Vim;Visual Studio Code,Helix,Helix,Arch;iOS;Windows,Arch;Windows,,,,,,,ChatGPT;GitHub Copilot;Google Gemini,,,Stack Exchange,A few times per week,Not sure/can't remember,,Learning new-to-me technology/techniques,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,45111.0,
13831,I code primarily as a hobby,Under 18 years old,"Student, full-time",,Apples,,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Stack Overflow;Interactive tutorial,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,6,,Student,,,,,,Finland,,,C;C#;Java;Rust,Java;Rust,Java;Rust,MongoDB,MongoDB,MongoDB,,,,,,,Arduino;GNU GCC;LLVM's Clang;MSVC,LLVM's Clang,LLVM's Clang,.NET (5+) ,,,Maven (build tool);MSBuild;Nix;NuGet;Pacman;Unity 3D;Visual Studio Solution,Maven (build tool);Nix,Maven (build tool);Nix,IntelliJ IDEA;Neovim;Visual Studio;Visual Studio Code,IntelliJ IDEA;Neovim;Visual Studio Code,IntelliJ IDEA;Neovim;Visual Studio Code,Other Linux-based,,Markdown File;Obsidian;Wikis,Markdown File;Obsidian;Wikis,Markdown File;Obsidian;Wikis,Discord,Matrix,,Visual Studio Intellicode,Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange,A few times per week,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
14113,I am a developer by profession,45-54 years old,"Employed, full-time",In-person,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Auditory material (e.g., podcasts)",API document(s) and/or SDK document(s);User guides or README files found in the source repository,30,23,"Developer, back-end",10 to 19 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Finland,EUR European Euro,,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,,,,Digital Ocean,Digital Ocean,Digital Ocean,,,,,,,NumPy;Pandas,NumPy;Pandas,NumPy;Pandas,Homebrew;Pip,Homebrew;Pip,Homebrew;Pip,BBEdit;PyCharm;Vim;Xcode,BBEdit;PyCharm,BBEdit;PyCharm,MacOS,MacOS;Ubuntu,GitHub Discussions,,,Discord;Google Chat;Google Meet;Microsoft Teams;Signal;Skype;Slack;Whatsapp;Zoom,Discord;Google Meet;Signal;Zoom,Discord;Google Meet;Signal;Zoom,ChatGPT;GitHub Copilot,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Unfavorable,Other (please specify):,Highly distrust,Very poor at handling complex tasks,Writing code;Debugging and getting help;Testing code;Generating content or synthetic data,,Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,,Writing code;Debugging and getting help;Testing code;Generating content or synthetic data,,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand;Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;Other (please specify):;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
14258,I code primarily as a hobby,18-24 years old,"Not employed, but looking for work",,Apples,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Other (please specify):,,,5,,Other (please specify):,,,,,,Finland,,,HTML/CSS;JavaScript;TypeScript,Go;HTML/CSS;JavaScript;Rust;TypeScript,HTML/CSS;JavaScript;TypeScript,MySQL;PostgreSQL;SQLite;Supabase,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Cloudflare;Hetzner;Netlify;Vercel,Cloudflare;Hetzner;Vercel,Cloudflare;Hetzner;Vercel,Express;Next.js;Node.js;React;Svelte,Next.js;React;Svelte,Next.js;React;Svelte,,,,Capacitor;React Native;Tauri,React Native;Tauri,React Native;Tauri,APT;Bun;Docker;npm;pnpm;Vite,APT;Bun;Docker;npm;pnpm;Vite,APT;Bun;Docker;npm;pnpm;Vite,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Arch;Debian;Other (please specify):,Debian,Linear,Linear,Linear,Discord;Slack,Discord,Discord,ChatGPT,ChatGPT,ChatGPT,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Generating content or synthetic data,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Search for answers,Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Writing code;Generating content or synthetic data,,,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
14627,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",On the job training,,,16,11,"Developer, full-stack",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Frequent updates to features,Finland,EUR European Euro,,C#;JavaScript;PHP;Ruby;SQL,C#;SQL,C#;SQL,MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL,MySQL;PostgreSQL,MySQL;PostgreSQL,Microsoft Azure,,,ASP.NET CORE;Node.js;React;Ruby on Rails,Node.js;React,Node.js;React,,,,.NET (5+) ,,,Dagger;Docker;npm;NuGet,,,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Ubuntu;Windows,Azure Devops;Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams;Skype;Slack,Slack,Slack,Bing AI;GitHub Copilot;WolframAlpha,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Unsure,Greater efficiency,Somewhat trust,Bad at handling complex tasks,Writing code;Search for answers,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,,Writing code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",Yes,Individual contributor,11.0,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Patching/updating core components,DevOps function;AI-assisted technology tool(s),Hybrid (on-prem and cloud),Traditional public search engine,Software Development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appropriate in length,Neither easy nor difficult,,8.0
14693,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,18,13,"Developer, embedded applications or devices",500 to 999 employees,I have little or no influence,Start a free trial,,,Finland,EUR European Euro,79000.0,C;C++;Python,C++;Python,C++;Python,,,,Microsoft Azure,Microsoft Azure,Microsoft Azure,,,,CMake;GNU GCC;MSVC;Ninja,CMake;GNU GCC,CMake;GNU GCC,,,,Chocolatey;Google Test;Ninja,Chocolatey;Google Test;Ninja,Chocolatey;Google Test;Ninja,Eclipse;Notepad++;PyCharm;Visual Studio,Eclipse;Notepad++;PyCharm,Eclipse;Notepad++;PyCharm,Windows,Windows,Azure Devops;Markdown File,Azure Devops;Markdown File,Azure Devops;Markdown File,Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,13.0,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,1-2 times a week,6-10 times a week,1-2 times a week,,,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,,A coworker,Manufacturing,10.0,0.0,0.0,50.0,0.0,20.0,0.0,20.0,0.0,Appropriate in length,Neither easy nor difficult,84851.0,7.0
